Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
98385cce-ef70-e58b-9430-151e3af9f079,1991-01-17,,999-69-6618,S99990951,X65241581X,Mr.,Theodore876,Mosciski958,,,M,white,nonhispanic,M,Chicago  Illinois  US,801 Lind Crossroad,Chicago,Illinois,DuPage County,60068,41.84462052953998,-87.61514782155929,167004.26,0.0
6e54dc9f-4993-d3e3-415d-0b4f0325f01a,1990-04-16,,999-66-6356,S99976672,X55280392X,Mrs.,Inger271,Goodwin327,,Jerde200,M,white,nonhispanic,F,Bolingbrook  Illinois  US,706 Stracke Avenue,Chicago,Illinois,DuPage County,60614,41.95205849051582,-87.87285943141597,746394.2399999999,0.0
aa597327-5e6d-f5a5-e02c-3dacd4f5e6b4,1976-06-12,,999-99-5405,S99964116,X13420143X,Mrs.,Margareta320,Koelpin146,,Wisozk929,M,white,nonhispanic,F,Rockford  Illinois  US,516 Baumbach Highlands,Chicago,Illinois,DuPage County,60176,41.99618211129894,-87.71826020065497,1040463.5399999998,0.0
6d3eb9ae-dc7c-ec78-77c2-79e61795cc1d,1963-03-27,,999-80-8200,S99956230,X66222220X,Mrs.,Louann705,Larkin917,,Blanda868,M,white,nonhispanic,F,Naperville  Illinois  US,637 Kulas Branch Apt 37,Chicago,Illinois,DuPage County,60642,41.932953170798655,-87.78180684115993,1383107.04,0.0
1fcab5ba-0deb-7d4e-8a5e-ff578bbad02f,1949-08-22,,999-14-3505,S99929703,X47281499X,Mr.,Alvin56,Gibson10,,,S,white,nonhispanic,M,Washington Park  Illinois  US,982 Vandervort Stravenue Suite 9,Chicago,Illinois,DuPage County,60647,41.665313963257304,-87.59445845383307,1659375.2759999998,1579.1039999999998
fdf247da-2972-61ed-5299-f3abd17a6161,1950-05-02,,999-79-6356,S99981166,X29844744X,Mr.,Alden634,Stehr398,,,M,white,nonhispanic,M,Champaign  Illinois  US,147 Hilll Flat,Chicago,Illinois,DuPage County,60641,41.89736326310086,-87.73201124285971,237527.7189999998,10976.660999999998
05d52a27-2b0c-71d6-742f-3c5d5c0cd4b1,2004-11-26,,999-69-9897,S99911296,,,Sanford861,Moore224,,,,white,nonhispanic,M,Chicago  Illinois  US,933 Shanahan Wynd Unit 11,Chicago,Illinois,DuPage County,60629,41.79309077418136,-87.76576731029311,391421.1,0.0
2acee328-aa39-d020-8c81-20ac3e82de8e,2009-11-24,,999-44-3000,,,,Ed239,Pacocha935,,,,asian,nonhispanic,M,Chicago  Illinois  US,219 Mitchell Flat Suite 52,Chicago,Illinois,DuPage County,60637,41.86697565108567,-87.6000355555073,134756.28000000003,0.0
fb3233f6-9e33-f360-05ea-6f78fb6a4b79,2021-02-15,,999-92-1510,,,,Tasia358,Larkin917,,,,white,nonhispanic,F,Aviston  Illinois  US,901 Schamberger Well Unit 62,Chicago,Illinois,DuPage County,60827,41.910387180827904,-87.62275157585854,19343.815,1331.445
86795578-4286-4b72-5d5b-55e1b61f9bfb,2020-08-27,,999-64-9548,,,,Ocie984,Hermann103,,,,white,nonhispanic,F,Island Lake  Illinois  US,936 Herman Branch,Chicago,Illinois,DuPage County,60638,41.728668619662585,-87.63458509752662,29305.54,1416.84
