Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
4ffe845b-3c97-3e4b-930c-8f38a79c9a90,1987-07-15,,999-67-2611,S99976569,X55639457X,Mrs.,Teresa94,Valdivia496,,Lerma517,M,black,hispanic,F,Santo Domingo  National District  DO,1033 Bogan Lane,Fort Myers,Florida,Lee County,33913,26.692596323898677,-81.81461794589691,518301.3100000001,0.0
6d80720f-a80e-3780-54ee-92623b5a9cdc,1985-03-14,,999-49-2546,S99942996,X67808014X,Ms.,Kasie673,Haley279,,,S,black,hispanic,F,Bayshore Gardens  Florida  US,783 Beatty Row,Fort Myers,Florida,Lee County,33907,26.56234759914426,-81.91964632806275,861078.5599999998,0.0
aaf68268-2d5b-74d4-8c66-c0cd412987cd,1974-12-27,,999-93-7494,S99972471,X75080299X,Mrs.,Nelle766,Donnelly343,,Walker122,M,white,nonhispanic,F,Ferry Pass  Florida  US,862 Pfeffer Junction Suite 26,Fort Myers,Florida,Lee County,33901,26.594868966895223,-81.6663456862757,1107288.1599999997,0.0
deebf3a1-83d0-58cc-294f-4fc09868575e,1970-12-13,,999-39-1464,S99927636,X3699370X,Mrs.,Maggie320,Glover433,,Leannon79,M,white,nonhispanic,F,Miramar  Florida  US,832 Weber Passage Suite 14,Fort Myers,Florida,Lee County,33990,26.5577225862944,-81.70749683091901,1218613.7999999998,0.0
8dc4a372-45ab-8e11-2faf-6ec24a358699,1951-01-02,,999-91-6046,S99942253,X49095780X,Mr.,Ellis535,Rosenbaum794,,,M,white,nonhispanic,M,Bellair-Meadowbrook Terrace  Florida  US,670 Jenkins Green,Fort Myers,Florida,Lee County,,26.645132899259984,-81.66845101827694,1672951.2580000008,1564.692
1ea43cfb-e1ab-da44-8d88-16187c27cc6f,1943-04-12,,999-73-8925,S99932761,X52954859X,Mrs.,Luisa710,Patiño436,,Villarreal550,M,white,hispanic,F,Roseau  Saint George  DM,241 Lemke Rapid Suite 20,Fort Myers,Florida,Lee County,33913,26.5726259941972,-81.86642286687974,1843155.7580000008,3572.002000000001
f03c5b31-c21c-9004-84b3-443ecfe1aeb2,2011-01-02,,999-42-2878,,,,Jermaine675,Altenwerth646,,,,white,nonhispanic,M,Winter Garden  Florida  US,117 Littel Arcade,Fort Myers,Florida,Lee County,33916,26.546042133068518,-81.66364328490904,234237.25500000003,48.074999999999974
7b439275-5299-763e-b807-067285f85f0d,1940-02-23,,999-41-4639,S99946121,X37712974X,Mrs.,Selina302,Sipes176,,Glover433,M,white,nonhispanic,F,North Miami  Florida  US,680 Powlowski Harbor,Fort Myers,Florida,Lee County,33903,26.50323105171892,-81.67891346718075,1908745.472000001,3996.028000000001
f3175415-25da-eef4-1dcd-c32fd1bcb419,2004-06-14,,999-14-2792,S99957982,,,Terrell212,Volkman526,,,,white,nonhispanic,M,Lighthouse Point  Florida  US,424 Murazik Ranch,Fort Myers,Florida,Lee County,33919,26.655539564537975,-81.98559327751212,431479.82000000007,0.0
0c423db3-094e-fdd2-b375-590397620777,2002-04-27,,999-44-3105,S99940260,,Ms.,Vinnie529,Lindgren255,,,,white,nonhispanic,F,Sanford  Florida  US,609 Metz Manor Suite 12,Fort Myers,Florida,Lee County,33905,26.767489915074805,-81.84930789667332,486728.2100000001,0.0
50ab3600-81e3-e24b-49e7-686e25551403,2007-02-21,,999-35-2750,,,,Darryl392,Lindgren255,,,,black,nonhispanic,M,Miami  Florida  US,113 Ritchie Passage Suite 64,Fort Myers,Florida,Lee County,33971,26.475626385323896,-81.71784331248442,45155.930499999995,7712.679500000001
