Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
0efeb21b-acb1-33d1-825c-f6c3d3d1cc65,ef58ea08-d883-3957-8300-150554edc8fb,Rosette746 Bruen238,F,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,890
05e75bcf-1d76-3c4c-ba8e-447a247f4f25,69176529-fd1f-3b3f-abce-a0a3626769eb,Janette321 Fisher429,F,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,3064
5cd0ac3b-7bcd-395c-a2e5-141828993c38,5e765f2b-e908-3888-9fc7-df2cb87beb58,Ludivina884 Steuber698,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,1010
4b1c6b34-8922-3fd5-8802-1eb5427e2fa0,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Whitney250 Wyman904,M,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,1782
ae221d0a-c01d-3db3-af63-5dface83a1c5,e002090d-4e92-300e-b41e-7d1f21dee4c6,Wilfredo622 Medhurst46,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2402
553c7840-380e-358c-a744-f4359053abea,ef6ab57c-ed94-3dbe-9861-812d515918b3,Tuan998 Fadel536,M,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,1986
80655951-6abd-37f3-bac0-a11dfb24a8ed,49318f80-bd8b-3fc7-a096-ac43088b0c12,Bernard308 Carter549,M,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,1892
e5024e14-f5dd-305b-9a49-50ffa3e7cd00,fbf6180e-b800-3ebe-b91d-93d0288c400e,Peter292 Wintheiser220,M,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,810
579d3bb6-d229-3c91-9870-21d08c6f73eb,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Elvin140 Herzog843,M,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,395
51b1b441-406b-33e0-962c-18a45c7bc365,4bdaa4c2-c664-3089-aee2-7137abbad27f,Delta800 Quigley282,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,985
6e6dec22-c0b9-3f61-ab20-d2c76839eb56,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Cecille691 Halvorson124,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,1529
fdb924aa-03c5-3a7d-825b-f6050eb60382,5d4b9df1-93ae-3bc9-b680-03249990e558,Vicente970 Kilback373,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,2069
392021e9-c2c8-30b9-be40-b27598a7eb1e,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Tracy345 Spencer878,F,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,531
defcb98f-ded3-3eb1-b923-018a5a1ff9f9,5844ad77-f653-3c2b-b7dd-e97576ab3b03,Joselyn874 Bayer639,F,GENERAL PRACTICE,40 WRIGHT STREET,PALMER,MA,01069,42.187794,-72.30846899999997,852
